"participant";"straight";"planar_intersection";"valence";"acc";"object";"surface";"pair";"stimsuj";"badtry";"sex";"age"
"part48";"0";"0";0;1;"cone_c_ni_rub";"cone";"rub";"10_part48";0;"F";22
"part48";"1";"1";0;0;"cube_d_i_tri";"cube";"tri";"11_part48";0;"F";22
"part48";"0";"0";0;1;"cyli_c_ni_splc";"cyli";"splc";"12_part48";0;"F";22
"part48";"0";"1";1;1;"sphe_c_i_pc";"sphe";"pc";"13_part48";0;"F";22
"part48";"0";"0";0;1;"sphe_c_ni_ca";"sphe";"ca";"14_part48";0;"F";22
"part48";"0";"0";0;1;"cyli_c_ni_spe1t";"cyli";"spe1t";"15_part48";0;"F";22
"part48";"0";"0";0;1;"cube_c_ni_el";"cube";"el";"16_part48";0;"F";22
"part48";"0";"1";1;1;"cube_c_i_rec";"cube";"rec";"17_part48";0;"F";22
"part48";"1";"1";1;1;"cyli_d_i_c";"cyli";"c";"19_part48";0;"F";22
"part48";"0";"1";1;1;"cone_c_i_ce";"cone";"ce";"1_part48";0;"F";22
"part48";"0";"0";0;1;"cyli_c_ni_eld";"cyli";"eld";"20_part48";0;"F";22
"part48";"0";"0";0;1;"cyli_c_ni_splt";"cyli";"splt";"21_part48";0;"F";22
"part48";"1";"0";0;1;"cone_d_ni_rub";"cone";"rub";"22_part48";0;"F";22
"part48";"0";"1";1;1;"cyli_c_i_el";"cyli";"el";"23_part48";0;"F";22
"part48";"0";"1";1;1;"cube_c_i_tri";"cube";"tri";"24_part48";0;"F";22
"part48";"0";"0";0;1;"cone_c_ni_tr";"cone";"tr";"25_part48";0;"F";22
"part48";"1";"1";1;1;"cube_d_i_ca";"cube";"ca";"27_part48";0;"F";22
"part48";"0";"0";0;1;"cube_c_ni_rec";"cube";"rec";"28_part48";0;"F";22
"part48";"0";"0";0;1;"cyli_c_ni_spe1c";"cyli";"spe1c";"29_part48";0;"F";22
"part48";"0";"1";1;1;"cone_c_i_tr";"cone";"tr";"2_part48";0;"F";22
"part48";"1";"0";0;1;"cyli_d_ni_spl";"cyli";"spl";"4_part48";0;"F";22
"part48";"1";"0";1;0;"cube_d_ni_el";"cube";"el";"5_part48";0;"F";22
"part48";"0";"1";1;1;"cube_c_i_car";"cube";"car";"6_part48";0;"F";22
"part48";"1";"1";1;1;"cone_d_i_bag";"cone";"bag";"7_part48";0;"F";22
"part48";"1";"0";0;1;"cyli_d_ni_spe1";"cyli";"spe1";"8_part48";0;"F";22
"part48";"1";"1";1;1;"sphe_d_i_gc";"sphe";"gc";"9_part48";0;"F";22
"part49";"0";"0";0;1;"cyli_c_ni_spe1c";"cyli";"spe1c";"10_part49";0;"F";22
"part49";"1";"1";1;1;"cyli_d_i_c";"cyli";"c";"11_part49";0;"F";22
"part49";"1";"1";1;1;"cube_d_i_ca";"cube";"ca";"13_part49";0;"F";22
"part49";"0";"1";1;1;"cube_c_i_rec";"cube";"rec";"15_part49";0;"F";22
"part49";"1";"1";1;1;"sphe_d_i_gc";"sphe";"gc";"16_part49";0;"F";22
"part49";"0";"1";1;1;"cone_c_i_tr";"cone";"tr";"17_part49";0;"F";22
"part49";"1";"0";0;1;"cyli_d_ni_spl";"cyli";"spl";"18_part49";0;"F";22
"part49";"0";"0";0;1;"cyli_c_ni_spe1t";"cyli";"spe1t";"19_part49";0;"F";22
"part49";"0";"1";1;1;"sphe_c_i_pc";"sphe";"pc";"1_part49";0;"F";22
"part49";"0";"0";0;1;"cyli_c_ni_splt";"cyli";"splt";"20_part49";0;"F";22
"part49";"0";"1";1;1;"cube_c_i_car";"cube";"car";"21_part49";0;"F";22
"part49";"0";"0";0;1;"cube_c_ni_el";"cube";"el";"22_part49";0;"F";22
"part49";"0";"1";1;1;"cube_c_i_tri";"cube";"tri";"23_part49";0;"F";22
"part49";"1";"0";0;1;"cyli_d_ni_spe1";"cyli";"spe1";"24_part49";0;"F";22
"part49";"1";"0";0;1;"cone_d_ni_rub";"cone";"rub";"25_part49";0;"F";22
"part49";"0";"1";1;1;"cyli_c_i_el";"cyli";"el";"26_part49";0;"F";22
"part49";"0";"0";0;1;"cube_c_ni_rec";"cube";"rec";"27_part49";0;"F";22
"part49";"1";"1";1;1;"cube_d_i_tri";"cube";"tri";"28_part49";0;"F";22
"part49";"0";"0";0;1;"cyli_c_ni_splc";"cyli";"splc";"29_part49";0;"F";22
"part49";"0";"0";1;0;"cone_c_ni_tr";"cone";"tr";"3_part49";0;"F";22
"part49";"0";"0";0;1;"sphe_c_ni_ca";"sphe";"ca";"4_part49";0;"F";22
"part49";"1";"1";1;1;"cone_d_i_bag";"cone";"bag";"5_part49";0;"F";22
"part49";"0";"0";0;1;"cone_c_ni_rub";"cone";"rub";"6_part49";0;"F";22
"part49";"0";"0";0;1;"cyli_c_ni_eld";"cyli";"eld";"7_part49";0;"F";22
"part49";"0";"1";1;1;"cone_c_i_ce";"cone";"ce";"8_part49";0;"F";22
"part49";"1";"0";0;1;"cube_d_ni_el";"cube";"el";"9_part49";0;"F";22
"part50";"1";"1";1;1;"cube_d_i_ca";"cube";"ca";"10_part50";0;"F";24
"part50";"0";"1";1;1;"cube_c_i_rec";"cube";"rec";"11_part50";0;"F";24
"part50";"0";"0";1;0;"cone_c_ni_tr";"cone";"tr";"12_part50";0;"F";24
"part50";"0";"0";0;1;"cyli_c_ni_splc";"cyli";"splc";"14_part50";0;"F";24
"part50";"0";"1";1;1;"cube_c_i_car";"cube";"car";"15_part50";0;"F";24
"part50";"0";"1";1;1;"cone_c_i_ce";"cone";"ce";"16_part50";0;"F";24
"part50";"1";"0";0;1;"cyli_d_ni_spe1";"cyli";"spe1";"17_part50";0;"F";24
"part50";"0";"0";0;1;"cyli_c_ni_eld";"cyli";"eld";"19_part50";0;"F";24
"part50";"1";"0";0;1;"cone_d_ni_rub";"cone";"rub";"1_part50";0;"F";24
"part50";"0";"0";0;1;"cyli_c_ni_spe1t";"cyli";"spe1t";"20_part50";0;"F";24
"part50";"1";"1";1;1;"cone_d_i_bag";"cone";"bag";"21_part50";0;"F";24
"part50";"0";"1";1;1;"sphe_c_i_pc";"sphe";"pc";"23_part50";0;"F";24
"part50";"0";"0";0;1;"sphe_c_ni_ca";"sphe";"ca";"24_part50";0;"F";24
"part50";"0";"0";0;1;"cyli_c_ni_spe1c";"cyli";"spe1c";"25_part50";0;"F";24
"part50";"0";"1";1;1;"cyli_c_i_el";"cyli";"el";"26_part50";0;"F";24
"part50";"0";"0";0;1;"cyli_c_ni_splt";"cyli";"splt";"27_part50";0;"F";24
"part50";"0";"0";0;1;"cube_c_ni_el";"cube";"el";"28_part50";0;"F";24
"part50";"1";"0";0;1;"cube_d_ni_el";"cube";"el";"29_part50";0;"F";24
"part50";"1";"1";1;1;"cube_d_i_tri";"cube";"tri";"2_part50";0;"F";24
"part50";"0";"1";1;1;"cone_c_i_tr";"cone";"tr";"3_part50";0;"F";24
"part50";"1";"1";1;1;"cyli_d_i_c";"cyli";"c";"4_part50";0;"F";24
"part50";"1";"1";1;1;"sphe_d_i_gc";"sphe";"gc";"5_part50";0;"F";24
"part50";"0";"1";1;1;"cube_c_i_tri";"cube";"tri";"6_part50";0;"F";24
"part50";"0";"0";0;1;"cube_c_ni_rec";"cube";"rec";"7_part50";0;"F";24
"part50";"0";"0";0;1;"cone_c_ni_rub";"cone";"rub";"8_part50";0;"F";24
"part50";"1";"0";0;1;"cyli_d_ni_spl";"cyli";"spl";"9_part50";0;"F";24
"part51";"1";"1";1;1;"cyli_d_i_c";"cyli";"c";"10_part51";0;"F";29
"part51";"0";"0";0;1;"cyli_c_ni_splc";"cyli";"splc";"11_part51";0;"F";29
"part51";"0";"0";0;1;"cyli_c_ni_eld";"cyli";"eld";"12_part51";0;"F";29
"part51";"0";"1";1;1;"cone_c_i_tr";"cone";"tr";"13_part51";0;"F";29
"part51";"0";"1";1;1;"sphe_c_i_pc";"sphe";"pc";"14_part51";0;"F";29
"part51";"1";"1";1;1;"cone_d_i_bag";"cone";"bag";"15_part51";0;"F";29
"part51";"0";"0";0;1;"sphe_c_ni_ca";"sphe";"ca";"16_part51";0;"F";29
"part51";"1";"1";1;1;"cube_d_i_tri";"cube";"tri";"17_part51";0;"F";29
"part51";"0";"0";0;1;"cyli_c_ni_spe1t";"cyli";"spe1t";"18_part51";0;"F";29
"part51";"0";"0";0;1;"cube_c_ni_el";"cube";"el";"19_part51";0;"F";29
"part51";"0";"0";0;1;"cube_c_ni_rec";"cube";"rec";"1_part51";1;"F";29
"part51";"1";"0";0;1;"cyli_d_ni_spl";"cyli";"spl";"20_part51";0;"F";29
"part51";"1";"1";1;1;"sphe_d_i_gc";"sphe";"gc";"21_part51";0;"F";29
"part51";"0";"1";1;1;"cone_c_i_ce";"cone";"ce";"22_part51";0;"F";29
"part51";"1";"1";1;1;"cube_d_i_ca";"cube";"ca";"25_part51";0;"F";29
"part51";"0";"1";0;0;"cyli_c_i_el";"cyli";"el";"26_part51";0;"F";29
"part51";"0";"0";0;1;"cyli_c_ni_spe1c";"cyli";"spe1c";"28_part51";0;"F";29
"part51";"0";"0";1;0;"cone_c_ni_tr";"cone";"tr";"29_part51";0;"F";29
"part51";"0";"1";1;1;"cube_c_i_car";"cube";"car";"2_part51";0;"F";29
"part51";"0";"1";1;1;"cube_c_i_rec";"cube";"rec";"3_part51";0;"F";29
"part51";"0";"1";1;1;"cube_c_i_tri";"cube";"tri";"4_part51";0;"F";29
"part51";"1";"0";0;1;"cone_d_ni_rub";"cone";"rub";"5_part51";0;"F";29
"part51";"1";"0";0;1;"cyli_d_ni_spe1";"cyli";"spe1";"6_part51";0;"F";29
"part51";"1";"0";0;1;"cube_d_ni_el";"cube";"el";"7_part51";0;"F";29
"part51";"0";"0";0;1;"cyli_c_ni_splt";"cyli";"splt";"8_part51";0;"F";29
"part51";"0";"0";0;1;"cone_c_ni_rub";"cone";"rub";"9_part51";0;"F";29
"part56";"0";"1";1;1;"sphe_c_i_pc";"sphe";"pc";"10_part56";0;"M";29
"part56";"0";"0";0;1;"cyli_c_ni_splt";"cyli";"splt";"11_part56";0;"M";29
"part56";"0";"0";0;1;"sphe_c_ni_ca";"sphe";"ca";"13_part56";0;"M";29
"part56";"0";"0";0;1;"cone_c_ni_tr";"cone";"tr";"14_part56";0;"M";29
"part56";"0";"1";1;1;"cyli_c_i_el";"cyli";"el";"15_part56";0;"M";29
"part56";"1";"1";1;1;"cube_d_i_ca";"cube";"ca";"16_part56";0;"M";29
"part56";"0";"1";1;1;"cube_c_i_tri";"cube";"tri";"17_part56";0;"M";29
"part56";"0";"0";0;1;"cyli_c_ni_splc";"cyli";"splc";"18_part56";0;"M";29
"part56";"0";"1";1;1;"cone_c_i_ce";"cone";"ce";"19_part56";0;"M";29
"part56";"0";"0";0;1;"cyli_c_ni_spe1t";"cyli";"spe1t";"1_part56";0;"M";29
"part56";"1";"0";0;1;"cyli_d_ni_spe1";"cyli";"spe1";"20_part56";0;"M";29
"part56";"1";"1";1;1;"cube_d_i_tri";"cube";"tri";"21_part56";0;"M";29
"part56";"0";"0";0;1;"cyli_c_ni_eld";"cyli";"eld";"22_part56";0;"M";29
"part56";"1";"1";1;1;"cone_d_i_bag";"cone";"bag";"23_part56";0;"M";29
"part56";"1";"0";0;1;"cone_d_ni_rub";"cone";"rub";"24_part56";0;"M";29
"part56";"0";"1";1;1;"cube_c_i_rec";"cube";"rec";"26_part56";0;"M";29
"part56";"0";"0";0;1;"cyli_c_ni_spe1c";"cyli";"spe1c";"27_part56";0;"M";29
"part56";"0";"1";1;1;"cube_c_i_car";"cube";"car";"28_part56";0;"M";29
"part56";"0";"0";0;1;"cone_c_ni_rub";"cone";"rub";"29_part56";0;"M";29
"part56";"0";"0";0;1;"cube_c_ni_el";"cube";"el";"2_part56";0;"M";29
"part56";"1";"0";0;1;"cube_d_ni_el";"cube";"el";"4_part56";0;"M";29
"part56";"1";"1";1;1;"cyli_d_i_c";"cyli";"c";"5_part56";0;"M";29
