"participant";"straight";"planar_intersection";"valence";"acc";"object";"surface";"pair";"stimsuj";"badtry";"sex";"age"
"part25";"1";"1";1;1;"cone_d_i_bag";"cone";"bag";"10_part25";0;"F";23
"part25";"0";"1";0;1;"sphe_c_i_pc";"sphe";"pc";"11_part25";0;"F";23
"part25";"0";"1";1;0;"cube_c_i_tri";"cube";"tri";"12_part25";0;"F";23
"part25";"0";"0";0;1;"cyli_c_ni_eld";"cyli";"eld";"13_part25";0;"F";23
"part25";"0";"0";0;1;"cone_c_ni_tr";"cone";"tr";"14_part25";0;"F";23
"part25";"0";"0";0;1;"cyli_c_ni_splt";"cyli";"splt";"15_part25";0;"F";23
"part25";"0";"0";1;0;"cube_c_ni_rec";"cube";"rec";"16_part25";0;"F";23
"part25";"1";"1";1;1;"cube_d_i_tri";"cube";"tri";"17_part25";0;"F";23
"part25";"1";"0";0;0;"cone_d_ni_rub";"cone";"rub";"18_part25";0;"F";23
"part25";"1";"1";0;0;"sphe_d_i_gc";"sphe";"gc";"19_part25";0;"F";23
"part25";"0";"1";1;0;"cube_c_i_car";"cube";"car";"1_part25";0;"F";23
"part25";"0";"0";0;1;"cyli_c_ni_spe1t";"cyli";"spe1t";"21_part25";0;"F";23
"part25";"0";"0";0;1;"sphe_c_ni_ca";"sphe";"ca";"22_part25";0;"F";23
"part25";"1";"1";1;1;"cube_d_i_ca";"cube";"ca";"23_part25";0;"F";23
"part25";"1";"0";0;0;"cyli_d_ni_spe1";"cyli";"spe1";"24_part25";0;"F";23
"part25";"0";"0";0;1;"cyli_c_ni_spe1c";"cyli";"spe1c";"25_part25";0;"F";23
"part25";"0";"0";0;1;"cone_c_ni_rub";"cone";"rub";"26_part25";0;"F";23
"part25";"0";"0";0;1;"cyli_c_ni_splc";"cyli";"splc";"28_part25";0;"F";23
"part25";"0";"1";0;1;"cone_c_i_tr";"cone";"tr";"29_part25";0;"F";23
"part25";"1";"0";1;1;"cube_d_ni_el";"cube";"el";"2_part25";0;"F";23
"part25";"0";"1";0;1;"cyli_c_i_el";"cyli";"el";"3_part25";0;"F";23
"part25";"0";"1";1;0;"cube_c_i_rec";"cube";"rec";"5_part25";0;"F";23
"part25";"0";"1";0;1;"cone_c_i_ce";"cone";"ce";"6_part25";0;"F";23
"part25";"1";"0";0;0;"cyli_d_ni_spl";"cyli";"spl";"7_part25";0;"F";23
"part25";"1";"1";0;0;"cyli_d_i_c";"cyli";"c";"8_part25";0;"F";23
"part25";"0";"0";1;0;"cube_c_ni_el";"cube";"el";"9_part25";0;"F";23
"part26";"1";"1";1;1;"sphe_d_i_gc";"sphe";"gc";"10_part26";0;"F";20
"part26";"1";"1";1;1;"cyli_d_i_c";"cyli";"c";"11_part26";0;"F";20
"part26";"0";"0";0;1;"cyli_c_ni_splc";"cyli";"splc";"12_part26";0;"F";20
"part26";"1";"1";1;1;"cube_d_i_ca";"cube";"ca";"13_part26";0;"F";20
"part26";"1";"1";1;1;"cube_d_i_tri";"cube";"tri";"14_part26";0;"F";20
"part26";"1";"0";0;0;"cyli_d_ni_spl";"cyli";"spl";"15_part26";0;"F";20
"part26";"1";"0";0;0;"cone_d_ni_rub";"cone";"rub";"16_part26";0;"F";20
"part26";"0";"0";0;1;"cube_c_ni_el";"cube";"el";"17_part26";0;"F";20
"part26";"1";"0";0;0;"cube_d_ni_el";"cube";"el";"18_part26";0;"F";20
"part26";"0";"1";1;0;"cube_c_i_car";"cube";"car";"19_part26";0;"F";20
"part26";"0";"1";1;0;"cyli_c_i_el";"cyli";"el";"1_part26";0;"F";20
"part26";"0";"0";0;1;"cube_c_ni_rec";"cube";"rec";"20_part26";0;"F";20
"part26";"0";"0";0;1;"cyli_c_ni_spe1t";"cyli";"spe1t";"21_part26";0;"F";20
"part26";"0";"0";0;1;"cyli_c_ni_splt";"cyli";"splt";"23_part26";0;"F";20
"part26";"1";"1";0;0;"cone_d_i_bag";"cone";"bag";"24_part26";0;"F";20
"part26";"0";"0";0;1;"cyli_c_ni_eld";"cyli";"eld";"25_part26";0;"F";20
"part26";"0";"1";1;0;"cone_c_i_ce";"cone";"ce";"26_part26";0;"F";20
"part26";"0";"0";0;1;"cyli_c_ni_spe1c";"cyli";"spe1c";"28_part26";0;"F";20
"part26";"0";"1";0;1;"cube_c_i_rec";"cube";"rec";"29_part26";0;"F";20
"part26";"0";"1";0;1;"cone_c_i_tr";"cone";"tr";"2_part26";0;"F";20
"part26";"0";"0";0;1;"sphe_c_ni_ca";"sphe";"ca";"3_part26";0;"F";20
"part26";"0";"1";0;1;"sphe_c_i_pc";"sphe";"pc";"4_part26";0;"F";20
"part26";"1";"0";0;0;"cyli_d_ni_spe1";"cyli";"spe1";"5_part26";0;"F";20
"part26";"0";"1";0;1;"cube_c_i_tri";"cube";"tri";"6_part26";0;"F";20
"part26";"0";"0";0;1;"cone_c_ni_tr";"cone";"tr";"7_part26";0;"F";20
"part26";"0";"0";0;1;"cone_c_ni_rub";"cone";"rub";"8_part26";0;"F";20
"part27";"1";"0";0;0;"cyli_d_ni_spl";"cyli";"spl";"10_part27";0;"F";22
"part27";"0";"0";0;1;"cube_c_ni_el";"cube";"el";"11_part27";0;"F";22
"part27";"0";"1";1;0;"cone_c_i_tr";"cone";"tr";"12_part27";0;"F";22
"part27";"1";"1";1;1;"sphe_d_i_gc";"sphe";"gc";"13_part27";0;"F";22
"part27";"1";"1";1;1;"cube_d_i_tri";"cube";"tri";"14_part27";0;"F";22
"part27";"0";"1";1;0;"cube_c_i_car";"cube";"car";"15_part27";0;"F";22
"part27";"0";"0";0;1;"cube_c_ni_rec";"cube";"rec";"17_part27";0;"F";22
"part27";"0";"0";0;1;"cyli_c_ni_splt";"cyli";"splt";"18_part27";0;"F";22
"part27";"0";"1";1;0;"cube_c_i_rec";"cube";"rec";"1_part27";0;"F";22
"part27";"1";"0";0;0;"cone_d_ni_rub";"cone";"rub";"20_part27";0;"F";22
"part27";"0";"1";1;0;"cube_c_i_tri";"cube";"tri";"21_part27";0;"F";22
"part27";"1";"1";1;1;"cyli_d_i_c";"cyli";"c";"22_part27";0;"F";22
"part27";"0";"1";1;0;"cyli_c_i_el";"cyli";"el";"23_part27";0;"F";22
"part27";"0";"0";0;1;"cyli_c_ni_eld";"cyli";"eld";"24_part27";0;"F";22
"part27";"0";"0";0;1;"sphe_c_ni_ca";"sphe";"ca";"25_part27";0;"F";22
"part27";"0";"0";0;1;"cyli_c_ni_splc";"cyli";"splc";"26_part27";0;"F";22
"part27";"0";"0";0;1;"cone_c_ni_tr";"cone";"tr";"27_part27";0;"F";22
"part27";"0";"1";1;0;"cone_c_i_ce";"cone";"ce";"28_part27";0;"F";22
"part27";"1";"1";1;1;"cube_d_i_ca";"cube";"ca";"29_part27";0;"F";22
"part27";"1";"0";0;0;"cyli_d_ni_spe1";"cyli";"spe1";"2_part27";0;"F";22
"part27";"0";"0";0;1;"cone_c_ni_rub";"cone";"rub";"3_part27";0;"F";22
"part27";"1";"0";1;1;"cube_d_ni_el";"cube";"el";"4_part27";0;"F";22
"part27";"1";"1";1;1;"cone_d_i_bag";"cone";"bag";"5_part27";0;"F";22
"part27";"0";"0";0;1;"cyli_c_ni_spe1t";"cyli";"spe1t";"7_part27";0;"F";22
"part27";"0";"0";0;1;"cyli_c_ni_spe1c";"cyli";"spe1c";"8_part27";0;"F";22
"part27";"0";"1";1;0;"sphe_c_i_pc";"sphe";"pc";"9_part27";0;"F";22
"part28";"0";"0";0;1;"cone_c_ni_rub";"cone";"rub";"10_part28";0;"M";21
"part28";"0";"1";1;0;"cyli_c_i_el";"cyli";"el";"11_part28";0;"M";21
"part28";"1";"0";0;0;"cone_d_ni_rub";"cone";"rub";"12_part28";0;"M";21
"part28";"0";"0";0;1;"cyli_c_ni_eld";"cyli";"eld";"13_part28";0;"M";21
"part28";"1";"1";1;1;"cyli_d_i_c";"cyli";"c";"14_part28";0;"M";21
"part28";"0";"0";0;1;"cone_c_ni_tr";"cone";"tr";"15_part28";0;"M";21
"part28";"1";"1";0;0;"cone_d_i_bag";"cone";"bag";"16_part28";0;"M";21
"part28";"1";"0";0;0;"cube_d_ni_el";"cube";"el";"18_part28";0;"M";21
"part28";"0";"0";0;1;"cube_c_ni_el";"cube";"el";"19_part28";0;"M";21
"part28";"0";"1";0;1;"cone_c_i_tr";"cone";"tr";"1_part28";0;"M";21
"part28";"0";"0";0;1;"cyli_c_ni_splt";"cyli";"splt";"20_part28";0;"M";21
"part28";"0";"0";0;1;"sphe_c_ni_ca";"sphe";"ca";"21_part28";0;"M";21
"part28";"0";"1";1;0;"cone_c_i_ce";"cone";"ce";"22_part28";0;"M";21
"part28";"0";"1";1;0;"sphe_c_i_pc";"sphe";"pc";"23_part28";0;"M";21
"part28";"1";"1";0;0;"cube_d_i_ca";"cube";"ca";"24_part28";0;"M";21
"part28";"0";"1";0;1;"cube_c_i_rec";"cube";"rec";"25_part28";0;"M";21
"part28";"1";"1";1;1;"sphe_d_i_gc";"sphe";"gc";"26_part28";0;"M";21
"part28";"1";"1";0;0;"cube_d_i_tri";"cube";"tri";"27_part28";0;"M";21
"part28";"0";"0";0;1;"cube_c_ni_rec";"cube";"rec";"28_part28";0;"M";21
"part28";"1";"0";0;0;"cyli_d_ni_spe1";"cyli";"spe1";"29_part28";0;"M";21
"part28";"0";"0";0;1;"cyli_c_ni_splc";"cyli";"splc";"2_part28";0;"M";21
"part28";"0";"1";0;1;"cube_c_i_tri";"cube";"tri";"3_part28";0;"M";21
"part28";"0";"0";0;1;"cyli_c_ni_spe1t";"cyli";"spe1t";"4_part28";0;"M";21
"part28";"1";"0";0;0;"cyli_d_ni_spl";"cyli";"spl";"7_part28";0;"M";21
"part28";"0";"0";0;1;"cyli_c_ni_spe1c";"cyli";"spe1c";"8_part28";0;"M";21
"part28";"0";"1";0;1;"cube_c_i_car";"cube";"car";"9_part28";0;"M";21
"part29";"0";"0";0;1;"cone_c_ni_tr";"cone";"tr";"10_part29";0;"M";23
"part29";"0";"0";0;1;"cyli_c_ni_spe1c";"cyli";"spe1c";"11_part29";0;"M";23
"part29";"1";"0";0;0;"cyli_d_ni_spl";"cyli";"spl";"12_part29";0;"M";23
"part29";"0";"0";0;1;"cube_c_ni_el";"cube";"el";"13_part29";0;"M";23
"part29";"0";"0";0;1;"cyli_c_ni_splt";"cyli";"splt";"14_part29";0;"M";23
"part29";"0";"1";0;1;"cube_c_i_rec";"cube";"rec";"16_part29";0;"M";23
"part29";"0";"0";0;1;"cube_c_ni_rec";"cube";"rec";"17_part29";0;"M";23
