"id";"age";"sex";"c1";"group";"c3";"c4";"c5";"included";"object";"resp";"surface";"straight";"planar_intersection";"pair";"acc";"lev";"dom"
20;45;"F";0;"maths";1;1;1;0;"cone_c_i_ce";1;"cone";"0";"1";"ce";0;0;"algebra"
23;48;"F";1;"maths";1;1;1;1;"cone_c_i_ce";1;"cone";"0";"1";"ce";0;5;"unknown or none"
25;67;"M";1;"maths";1;1;1;1;"cone_c_i_ce";1;"cone";"0";"1";"ce";0;0;"unknown or none"
29;34;"F";1;"maths";1;1;1;1;"cone_c_i_ce";1;"cone";"0";"1";"ce";0;0;"unknown or none"
31;41;"M";1;"maths";1;0;1;0;"cone_c_i_ce";1;"cone";"0";"1";"ce";0;8;"unknown or none"
50;47;"M";0;"maths";1;1;1;0;"cone_c_i_ce";0;"cone";"0";"1";"ce";1;0;"unknown or none"
51;48;"F";0;"maths";1;1;1;0;"cone_c_i_ce";1;"cone";"0";"1";"ce";0;5;"unknown or none"
52;36;"F";0;"maths";1;1;1;0;"cone_c_i_ce";1;"cone";"0";"1";"ce";0;8;"stats probabilities"
58;29;"M";1;"maths";1;1;1;1;"cone_c_i_ce";1;"cone";"0";"1";"ce";0;5;"unknown or none"
59;48;"M";1;"maths";1;1;1;1;"cone_c_i_ce";1;"cone";"0";"1";"ce";0;0;"unknown or none"
75;24;"M";1;"maths";1;1;1;1;"cone_c_i_ce";1;"cone";"0";"1";"ce";0;0;"unknown or none"
79;23;"F";1;"maths";0;1;1;0;"cone_c_i_ce";1;"cone";"0";"1";"ce";0;5;"discrete maths"
81;21;"F";1;"maths";1;1;1;1;"cone_c_i_ce";1;"cone";"0";"1";"ce";0;0;"algebra"
82;24;"M";1;"maths";1;1;1;1;"cone_c_i_ce";0;"cone";"0";"1";"ce";1;5;"algebra"
95;22;"F";1;"maths";1;1;1;1;"cone_c_i_ce";1;"cone";"0";"1";"ce";0;0;"analysis"
100;55;"F";1;"maths";1;1;1;1;"cone_c_i_ce";0;"cone";"0";"1";"ce";1;9;"algebra"
107;50;"M";0;"maths";1;1;1;0;"cone_c_i_ce";1;"cone";"0";"1";"ce";0;5;"unknown or none"
112;43;"F";1;"maths";1;0;1;0;"cone_c_i_ce";1;"cone";"0";"1";"ce";0;0;"analysis"
114;52;"M";0;"maths";1;1;1;0;"cone_c_i_ce";0;"cone";"0";"1";"ce";1;0;"unknown or none"
116;35;"M";0;"maths";1;1;1;0;"cone_c_i_ce";1;"cone";"0";"1";"ce";0;5;"unknown or none"
119;43;"F";0;"maths";1;1;1;0;"cone_c_i_ce";1;"cone";"0";"1";"ce";0;0;"unknown or none"
120;45;"M";0;"maths";1;1;1;0;"cone_c_i_ce";1;"cone";"0";"1";"ce";0;0;"unknown or none"
124;50;"F";0;"maths";1;1;1;0;"cone_c_i_ce";1;"cone";"0";"1";"ce";0;5;"unknown or none"
147;66;"M";1;"maths";1;1;1;1;"cone_c_i_ce";1;"cone";"0";"1";"ce";0;5;"unknown or none"
148;53;"M";1;"maths";1;1;1;1;"cone_c_i_ce";1;"cone";"0";"1";"ce";0;8;"discrete maths"
150;41;"F";0;"maths";1;1;1;0;"cone_c_i_ce";1;"cone";"0";"1";"ce";0;0;"unknown or none"
